APPID,FellowStatedDate
81c000eb-d095-429b-b12e-a514014c64a7,8/17/16
93615437-6890-47b1-bcb5-a514015be8d4,7/13/16
2f65b154-22e8-4306-9847-a515009b4546,6/17/16
456099a2-1a0a-45bc-aca1-a51500a6d119,8/18/16
fbd2c834-ceb5-4be9-9331-a51500a97797,8/10/16
7872e57e-57fd-48c2-97d0-a5150101d624,8/11/16
0c369004-9284-4a98-9adb-a5150109bfbc,7/28/16
7f77e19a-9a73-4998-bc1c-a515014a7724,6/28/16
9202baed-a957-4eef-a93d-a5150152f44a,7/27/16
9202baed-a957-4eef-a93d-a5150152f44a,7/27/16
b60d222e-95c7-4c12-9466-a516008ce344,8/24/16
8bc3656b-78fb-40da-8f8f-a51600979d95,8/26/16
9fcd50bc-e69e-4233-a6ec-a51600ae2e5e,8/24/16
23c5ec05-b370-40be-9583-a516013a18e1,7/29/16
7f56ea81-cc58-4a54-affc-a5160151bc46,7/11/16
76575a80-b460-4cb3-b3cf-a5160158bdbe,6/16/16
c3886e65-feb8-496c-a26f-a51800c244f3,8/3/16
fd79f3a6-eddf-4146-9017-a51800f0270c,6/28/16
8239ecb6-e8da-48ca-a5a6-a5180105243e,8/15/16
6110c144-53b3-43a8-9f64-a51801609384,
419678b6-2c2e-41d7-9346-a51900c37a93,7/14/16
0018fc3f-b2a8-4057-8dbe-a51900eb161e,5/15/16
2831b5a5-9a80-40dd-af6e-a51900f9318b,
a4d16e5e-eefc-4f0f-ac5a-a51a000fbdcc,8/24/16
3289ba47-c8e1-45af-9700-a51a00a8fe7d,6/29/16
d3122ff8-e562-41b7-9825-a51a00d93f4d,7/13/16
22dab9cf-39c9-4f7a-8c47-a51a00e20771,8/11/16
6a4315f6-836e-472a-8105-a51a00e64163,8/4/16
4bc444e9-af7c-4c1d-bcdd-a51a0134411f,6/24/16
ae51a734-9c72-4522-98ef-a51b00054e50,9/1/16
b4164eb4-6aeb-4b04-92f5-a51b00899a7b,6/16/16
